,mean,std,min,max,t-stat
SMALL LoBM,0.027940256371127722,1.2739232095845725,-14.07,17.49,3.5508899789955173
ME1 BM2,0.04050969021822065,1.1684584276375394,-14.08,18.38,5.613008972164702
SMALL HiBM,0.0473931786967801,1.2967849264800144,-16.02,26.7,5.916950881134036
BIG LoBM,0.031128490767587367,1.1099645064468615,-18.130000000000003,13.64,4.540451625691176
ME2 BM2,0.031096062871967034,1.11173423987498,-18.77,23.57,4.528501373641091
BIG HiBM,0.041978483137494284,1.4045403302133865,-17.91,22.06,4.838854986531961
