,MKT,SMB,HML,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
MKT,1.0,-0.13261413552158577,0.14026084476141892,0.8492313537190967,0.8691407164195077,0.8362654740830342,0.9811551946303133,0.9597455882948452,0.8986206510365045
SMB,-0.13261413552158577,1.0,-0.06638451453654294,0.3400502882248762,0.30372475354176476,0.28978096044377,-0.1742103593883789,-0.18518278694318127,-0.15600745229282934
HML,0.14026084476141892,-0.06638451453654294,1.0,0.010623663592828169,0.2664431018526366,0.4440223178195489,0.007590158973594715,0.28011292655681413,0.4978160944433656
SMALL LoBM,0.8492313537190967,0.3400502882248762,0.010623663592828169,1.0,0.9133926076695166,0.8614300997287735,0.812869825445533,0.7893486858341091,0.7634952247559602
ME1 BM2,0.8691407164195077,0.30372475354176476,0.2664431018526366,0.9133926076695166,1.0,0.9423657243707588,0.8105931520859759,0.843630980933556,0.8366541717669098
SMALL HiBM,0.8362654740830342,0.28978096044377,0.4440223178195489,0.8614300997287735,0.9423657243707588,1.0,0.7636890225128078,0.8333910721300674,0.8576731095938147
BIG LoBM,0.9811551946303133,-0.1742103593883789,0.007590158973594715,0.812869825445533,0.8105931520859759,0.7636890225128078,1.0,0.9074921241254774,0.8291748001752313
ME2 BM2,0.9597455882948452,-0.18518278694318127,0.28011292655681413,0.7893486858341091,0.843630980933556,0.8333910721300674,0.9074921241254774,1.0,0.913515741569002
BIG HiBM,0.8986206510365045,-0.15600745229282934,0.4978160944433656,0.7634952247559602,0.8366541717669098,0.8576731095938147,0.8291748001752313,0.913515741569002,1.0
