date,long_short_return,gross_exposure,n_stocks,cumulative_return
2020-02-24,0.00513878734858681,1.0,743,0.00513878734858686
2020-02-25,0.006075415357766143,0.9851657940663177,1146,0.01124542297393094
2020-02-26,-0.0030534888103651357,0.9792697290930507,1415,0.008157596390347077
2020-02-27,-0.0020970980682042187,0.9692489651094027,1691,0.006043391042511503
2020-02-28,-0.006003999722799723,0.9592342342342342,1924,3.1068015677870875e-6
2020-03-02,0.009121757119897139,0.9529733204757312,2074,0.009124892260954365
2020-03-03,0.00030256979715804317,0.94958889250461,2195,0.009430222974913027
2020-03-04,0.0015295393526299408,0.9458844278452122,2295,0.010974186224687266
2020-03-05,0.0013600886650471055,0.9349657324564001,2411,0.012349200756026635
2020-03-06,-0.0013250401885773855,0.9205675937302208,2558,0.011007797380150786
2020-03-09,-0.0014991097512852825,0.9130909488904271,2683,0.009492185732472791
2020-03-10,0.0034487954209574496,0.9047256202916582,2756,0.012973717760119241
2020-03-11,-0.0015375883377546076,0.8993277868766324,2815,0.011416181185239349
2020-03-12,-0.0005761105942989154,0.8915699273884883,2877,0.010833493608013223
2020-03-13,0.0003197211696059678,0.8886368571389092,2924,0.011156678474866455
2020-03-16,-0.006127217942408054,0.884817834107895,2958,0.004961101131929491
2020-03-17,-0.00006485691319606323,0.8822560791060792,3000,0.004895922457027968
2020-03-18,-0.004729957373878866,0.8769568723620107,3036,0.00014280757862161764
2020-03-19,0.0018602406341679358,0.8728549345904584,3074,0.002003313869250123
2020-03-20,0.0022237382112516115,0.8672620398977319,3105,0.004231506926101858
2020-03-23,-0.004097257863417413,0.8718132483547083,3071,0.00011691148765735626
2020-03-24,0.0013536463034032704,0.8789578283717104,3056,0.0014707160478635295
2020-03-25,0.0013770383264267382,0.8776568570487725,3022,0.002849779606655334
2020-03-26,-0.003207659847986833,0.8788443730410871,3017,-0.00036702136495136983
2020-03-27,0.0007134970161146583,0.8825820909496165,3025,0.00034621378251453727
2020-03-30,0.0013429606101484962,0.8801141915527472,3030,0.001689639344135685
2020-03-31,-0.0002735381761300032,0.8850689700892759,3028,0.0014156389871411434
2020-04-01,-0.003789895323437136,0.8838136129960462,2997,-0.002379621459873027
2020-04-02,-0.00138665148446777,0.8915895575236089,2976,-0.003762973238710998
2020-04-03,0.0011019210044572294,0.8905381316110323,2993,-0.002665198733504792
2020-04-07,0.0016905536585840426,0.8903483077857034,2995,-0.0009791507363905438
2020-04-08,-0.000994065008673294,0.8931370133987668,2998,-0.0019722424055785837
2020-04-09,-0.00014891316105540456,0.8839840510456205,2999,-0.00212086187378302
