statistic,turnover,volume_shock,ret
count,5579327.0,5579327.0,5579327.0
null_count,0.0,0.0,0.0
mean,0.028986281760976982,-0.0459854597870423,0.0004042660353121458
std,0.0421147852882839,1.2207925868160454,0.03131783577233586
min,3.0560279843821045e-7,-19.13878349120636,-0.964431
25%,0.00780208180018966,-0.9120981963374418,-0.015152
50%,0.015395673599549697,-0.17097717472061266,0.0
75%,0.03227,0.6817691480909306,0.013457
max,0.8763004526307255,13.993723316446268,4.884444
