,count,mean,std,min,25%,50%,75%,max
turnover,5579327.0,0.028986281760976985,0.042114785288283954,3.0560279843821045e-07,0.007802081024337991,0.015395673599549697,0.03226999618961383,0.8763004526307255
volume_shock,5579327.0,-0.04598545978704233,1.2207925868160447,-19.13878349120636,-0.9120982007903058,-0.17097717472061266,0.6817687175186338,13.993723316446268
ret,5579327.0,0.00040426603531214424,0.031317835772335996,-0.964431,-0.015152,0.0,0.013457,4.884444
